,name,food type,establishment,family-friendly,price range,customer rating,address,phone number,menu,open hours,distance
,The String Bean Restaurant,southern American,restaurant,yes,moderate,high,"1310 W Campbell Rd Ste 101, Richardson, TX 75080",9723853287,http://www.thestringbean.com/menu.html,"Sun-Wed 11:00-20:00, Thu-Sat 11:00-21:00",near
,Southern Recipes Grill,American,restaurant,no,cheap,average,"621 W Plano Pkwy #229, Plano, TX 75075",9723129800,https://www.southernrecipesgrill.site/,"Mon-Wed 7:00-15:00, Thu-Fri 7:00-21:00, Sat-Sun 8:00-21:00",near
,Apollonias Italian Kitchen,Italian,restaurant,no,cheap,average,"3610 Shire Blvd Suite 108, Richardson, TX 75082",4692090500,https://apolloniasitaliankitchen.com/richardson-apollonia-s-italian-kitchen-food-menu,"Mon-Fri 11:00-21:00, Sat-Sun 16:00-21:00",near
,Student Union Food Court,American,fast food,no,cheap,average,"Student Union, 2601 N Floyd Rd, Richardson, TX 75080",9728832111,https://new.dineoncampus.com/utdallasdining/where-to-eat,Mon-Fri 8:00-5:00,in campus
,Moes Southwest Grill,Mexican,restaurant,no,cheap,low,"Mail Stop SU 23, 800 W Campbell Rd, Richardson, TX 75080",9728834769,http://www.moes.com/menu?utm_source=google&utm_medium=organic&utm_campaign=menu,Mon-Fri 11:00-8:00,in campus
,Chick-fil-A,chicken,fast food,no,cheap,average,"Founders North, 2601 N Floyd Rd, Richardson, TX 75080",9728834769,https://www.chick-fil-a.com/locations/tx/university-of-texas-dallas/menu?utm_source=yext&utm_medium=link,Mon-Sat 6:30-22:00,in campus
,Panda Express,Chinese,restaurant,no,cheap,low,"Student Union, 800 W Campbell Rd, Richardson, TX 75080",9728834769,https://www.pandaexpress.com/menu/entrees,"Mon-Thu 11:00-18:00, Fri 11:00-17:00",in campus
,Firehouse Subs,sandwich,shop,no,cheap,low,"Student Union, 800 W Campbell Rd #2.208, Richardson, TX 75080",8882896185,https://www.firehousesubs.com/our-food/,Mon-Fri 11:00-16:00,in campus
,The Halal Shack,Halal,restaurant,no,cheap,low,"Student Union, 2601 N Floyd Rd, Richardson, TX 75080",9728836248,https://www.thehalalshack.com/discover-deliciousness/build-your-own,"Mon-Thu 11:00-20:00, Fri 11:00-15:00",in campus
,Smoothie King,smoothie,shop,no,moderate,low,"2601 N Floyd Rd, Richardson, TX 75080",9728837486,https://www.smoothieking.com/menu/smoothies,Mon-Fri 7:30-18:00,in campus
,The Pub at UTD,pub,pub,no,cheap,low,"Student Union, 2601 N Floyd Rd, Richardson, TX 75080",9728834764,no,Mon-Fri 11:00-16:00,in campus
,Starbucks,coffee,shop,no,cheap,low,"842 Loop Rd SW, Richardson, TX 75080",no,https://www.starbucks.com/menu,"Mon-Thu 7:30-22:00, Fri 7:30-19:00 Sat-Sun 9:00-15:00",in campus
,Tradecraft Coffee + Tea Bar,coffee,shop,no,cheap,low,"800 W Campbell Rd, Richardson, TX 75080",no,no,Mon-Fri 8:00-16:00,in campus
,Taco Bell,taco,fast food,no,cheap,average,"2828 Rutford Ave Ste 4, Richardson, TX 75080",9728837471,https://www.tacobell.com/food,"Mon-Fri 8:00-24:00, Sat-Sun 9:00-17:00",in campus
,Einstein Bros. Bagels,bagel,restaurant,no,cheap,low,"800 N Loop Rd, Richardson, TX 75080",9728837470,http://www.einsteinbros.com/menu/bagels-and-shmear,Mon-Fri 7:30-16:00,in campus
,Dining Hall West,American,restaurant,no,moderate,low,"2770 Waterview Pkwy, Richardson, TX 75080",9728837466,https://dineoncampus.com/utdallasdining,"Mon-Thu 7:00-10:00&11:00-15:00&16:30-21:00, Fri 7:00-10:00&11:00-15:00&16:30-19:30, Sat-Sun 10:30-15:00&16:30-19:30",in campus
,Papa Johns,pizza,fast food,no,cheap,low,"2770 Waterview Pkwy, Richardson, TX 75080",no,https://www.papajohns.com/order/menu,"Mon-Thu 11:00-1:00, Fri-Sat 11:00-23:00, Sun 15:00-22:00",in campus
,Insomnia Cookies,cookie,shop,no,cheap,low,"3000 Northside Blvd Suite 300, Richardson, TX 75080",4697227557,https://insomniacookies.com/menu/2067,"Mon-Wed 11:00-1:00, Thu-Fri 11:00-3:00, Sat 12:00-3:00, Sun 12:00-1:00",near
,Pinto Urban Thai Diner,Thai,restaurant,no,moderate,average,"3000 Northside Blvd #400, Richardson, TX 75080",9724799979,https://pintoutd.square.site/,"Mon-Fri 11:00-21:00, Sat 12:00-21:00",near
,CHOPPED HALAL GRILL,Halal,restaurant,no,moderate,high,"3000 Northside Blvd #500, Richardson, TX 75080",9722352467,https://www.choppedhalalgrill.com/menus,Mon-Fri 11:00-21:00,near
,Fukuro,bubble tea,shop,no,cheap,high,"3000 Northside Blvd Suite 300, Richardson, TX 75080",9725289888,http://fukurotx.kwickmenu.com/,"Mon-Fri 11:00-22:00, Sun 12:00-22:00",near
,Northside Drafthouse & Eatery,bar,sports bar,no,cheap,high,"3000 North Blvd suite 800, Richardson, TX 75080",9722387915,http://www.northsidedrafthouse.com/,"Sun-Wed 11:00-24:00, Thu-Sun 11:00-2:00",near
,American Tap Room,bar,bar&grill,no,moderate,average,"3000 Northside Blvd #900, Richardson, TX 75080",4698018224,https://www.atr-northside.com/menu,Mon-Fri 7:00-16:00,near
